Afk.;Kolom1;Kolom2;Kolom3;Kolom4;Kolom5;Afkorting;Stationsnaam;Link;;;Stationsnaam;Afkorting;;Afkorting;Lijst voor travelmapping;;;;;;;;Stationsnaam;Afkorting
Sog;50;8559809;5;8714734;;Sog;Schin op Geul;Sog https://www.openstreetmap.org/?lat=50.8559809&lon=5.8714734;;;Schin;Omn;;nm;Nm https://www.openstreetmap.org/?lat=51.8431362&lon=5.8530913;;;;;;;;Schin op Geul;Sog
Vs;51;4440529;3;595722;;Vs;Vlissingen;Vs https://www.openstreetmap.org/?lat=51.4440529&lon=3.595722;;;Vlissingen;Omn;;nmh;Nmh https://www.openstreetmap.org/?lat=51.8267778&lon=5.8679526;;;;;;;;Vlissingen;Vs
Hmbh;51;4706226;5;70137;;Hmbh;Helmond Brouwhuis;Hmbh https://www.openstreetmap.org/?lat=51.4706226&lon=5.70137;;;Tilb;Omn;;mmlh;Mmlh https://www.openstreetmap.org/?lat=51.7665425&lon=5.8789752;;;;;;;;Helmond Brouwhuis;Hmbh
Rsd;51;5403292;4;4584702;;Rsd;Roosendaal;Rsd https://www.openstreetmap.org/?lat=51.5403292&lon=4.4584702;;;;#N/B;;ck;Ck https://www.openstreetmap.org/?lat=51.7266248&lon=5.8741958;;;;;;;;Roosendaal;Rsd
Tbu;51;5652341;5;0516776;;Tbu;Tilburg Universiteit;Tbu https://www.openstreetmap.org/?lat=51.5652341&lon=5.0516776;;;;#N/B;;bmr;Bmr https://www.openstreetmap.org/?lat=51.6444304&lon=5.9395217;;;;;;;;Tilburg Universiteit;Tbu
Gz;51;5840224;4;9242259;;Gz;Gilze-Rijen;Gz https://www.openstreetmap.org/?lat=51.5840224&lon=4.9242259;;;;#N/B;;vlb;Vlb https://www.openstreetmap.org/?lat=51.5920221&lon=5.9970961;;;;;;;;Gilze-Rijen;Gz
Vlb;51;5920221;5;9970961;;Vlb;Vierlingsbeek;Vlb https://www.openstreetmap.org/?lat=51.5920221&lon=5.9970961;;;;#N/B;;vry;Vry https://www.openstreetmap.org/?lat=51.526454&lon=6.0142546;;;;;;;;Vierlingsbeek;Vlb
Bd;51;5951433;4;7800231;;Bd;Breda;Bd https://www.openstreetmap.org/?lat=51.5951433&lon=4.7800231;;;;#N/B;;br;Br https://www.openstreetmap.org/?lat=51.3724162&lon=6.155296;;;;;;;;Breda;Bd
Bmr;51;6444304;5;9395217;;Bmr;Boxmeer;Bmr https://www.openstreetmap.org/?lat=51.6444304&lon=5.9395217;;;;#N/B;;vl;Vl https://www.openstreetmap.org/?lat=51.3650504&lon=6.171433;;;;;;;;Boxmeer;Bmr
Rvs;51;7947915;5;6377036;;Rvs;Ravenstein;Rvs https://www.openstreetmap.org/?lat=51.7947915&lon=5.6377036;;;;#N/B;;tg;Tg https://www.openstreetmap.org/?lat=51.3392858&lon=6.1433761;;;;;;;;Ravenstein;Rvs
